unique_id,overall_accuracy,full_name,is_spatial
base,0.715500,base,True
shuffled,0.711200,shuffled,True
base_stdandmean,0.652300,base_stdandmean,False
normalized,0.619500,normalized,True
zeromean,0.618300,zeromean,True
shuffled_normalized,0.611900,shuffled_normalized,True
shuffled_zeromean,0.605600,shuffled_zeromean,True
base_mean,0.575200,base_mean,False
zeromean_normalized,0.562700,zeromean_normalized,True
shuffled_zeromean_normalized,0.522800,shuffled_zeromean_normalized,True
zeromean_quantiles,0.460400,zeromean_quantiles,True
quantiles,0.459600,quantiles,True
normalized_quantiles,0.459300,normalized_quantiles,True
zeromean_normalized_quantiles,0.444800,zeromean_normalized_quantiles,True
normalized_stdandmean,0.421100,normalized_stdandmean,False
normalized_mean,0.416200,normalized_mean,False
zeromean_std,0.413900,zeromean_std,False
zeromean_stdandmean,0.409900,zeromean_stdandmean,False
base_std,0.409200,base_std,False
zeromean_normalized_mean,0.250000,zeromean_normalized_mean,False
zeromean_normalized_std,0.250000,zeromean_normalized_std,False
normalized_std,0.250000,normalized_std,False
zeromean_normalized_stdandmean,0.250000,zeromean_normalized_stdandmean,False
zeromean_mean,0.250000,zeromean_mean,False
